Rejection / Status Code,Root Cause / Trigger,Action / Queue,Outcome by Jorie,Final Category / Bucket
Incorrect/Missing Rendering/Referring/Attending Provider NPI,PECOS Credentialing Issue,Provider Enrollment Pending,Exception,Credentialing Issue
Incorrect/Missing Rendering/Referring/Attending Provider NPI,Verifed PECOS/EXCELLUS,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect/Invalid/Missing Revenue Code/CPT/HCPCS,Revenue Code 0510,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect/Invalid/Missing Revenue Code/CPT/HCPCS,Revenue Code 0983,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect/Invalid/Missing Revenue Code/CPT/HCPCS,CPT/HCPCS Missing/Invalid,Tasked_Coding,Exception,Coding Issue
Same Day Service Issue,Unable To Change Queue,Assistance Required,Assistance Needed From NSHA,SDS Related Issue
Incorrect Member Name/Relationship Code,Member Name Initial,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect Member Name/Relationship Code,Member Name,Tasked_Registration Issue,Exception,Demographic / Registration
Incorrect Member Name/Relationship Code,Relationship Code,Submission Through Trubrige/CPSI,Corrected,Edit Resolved
Incorrect Member Name/Relationship Code,Relationship Code,Tasked_Registration Issue,Exception,Demographic / Registration
